P P continuumKontinuum (sixteenSechszehn) dimensionsDimensionen, dimensionalDimensionales multiverseMultiversum, „enhancedErweiterte metaMeta phyicsPhysik“ sixteenSechzehn hexadecadegramHexadekadegramm P P afterNach metaMeta physicsPhysik fifeteenFuenfzehn O O pentadecadegramPentadekadegramm;
DeltaDelta-VerschraenkungEntanglement DeltaDelta-behaiourVerhalten  Verhaltensverschraenkung, whereWo  quantumQuanten-EntagelmentVerschränkung onlyNur aEin specialSpezial caseFall isIst, whenDer toZur elevenElf K K addedNoch seventeenSiebzehn Q Q addedDazu takenNimmt;11
BeamStrahl radiationStrahlung, severalMehrere mentalGeistige brainGehirn cosmossesKosmosse, temperatureTemperatur degreeGrad hotHeiss coldKalt, temperamentTemperament temperNaturell;12
signalsSignale;13
TalkSprechen speakReden;14
ChemistryChemie (biologicalBiologisch andUnd anorganicAnorganisch andUnd maybeVielleicht moreMehr) (universeUniversum andUnd cosmosKosmos lawGesetz justiceGerechtigkeit);15
MetaMeta chemistryChemie aliasAlias alchemyAlchemie, exampleBeispiel numberZahl valueWert combinedKombiniert withMit angleWinkelDirectionRichtung resultsErgibt intoZu vectorVektor, areSind combinationsKombinationen (fourteenVierzehn) fusionsFusionen, butAber exampleBeispiel alsoAuch eighteenAchtzehn n n toZu m m relationenRelationen ofVon wholeGanzen naturalNatuerlichen numbersZahlen valuesWerten, aEine columnSpalte explainsErklärt theDen contextZusammenhang betweenZwischen toZwei furhterWeiteren columnsSpalten isIst twoZwei toZu oneEins relationBeziehung;16
compressionKompression (oneEin bitBit anyJegliches everythingAlles ontoAuf oneEin bitBit reduceableReduzierbar) densityDichte closeDicht compressionKompression tightEng;17
LanguageSprache (whenWobei realReales legitEchts R R isIst linguisticsLinguistik notNicht languageSprache) ofVom universeUniversum andUnd alsoAuch fromVom cosmosKosmos notNicht universeUniversum bothBeides likeWie threeDrei C C triangleDreieck isIst noNein asAls signalSignal redRot andUnd signalSignal greenGruen meansBedeutet yesJa andUnd isIst additiveAddtiv mixedVermischte addedAddiert oneEins A A dotPunkt withMit B B twoZwei lineLinie bothBeide combinatedKombiert notNicht substractedSubtrahiert butAber addedAddiert meansBedeutet yesJa belongsGehoert toZu eigthteenAchtzehn languageSprache ofVom universeUniversum andUnd cosmosKosmos;18
MessageNachricht  likeWie LetterBrief likeWie emailEmail likeWie transmissionUebermittlung;19
PatternMuster scienceWissenschaft asWie engineeringIngenieurs scienceWissenschaft  asWie computerComputer scienceWissenschaft aliasAlias germanDeutsch informatikInformatik;20
textingTexten writingSchreiben scriptureSchrift;21
entanglementVerschraenkungs patternMuster deltaDelta patternMuster behaviourVerhaltens patternMuster intersectingDurchschneidende entanglementVerschraenkung. interdependenceAbhaengigkeits patternMuster structuresStrukturen couplingsKopplungs structureStruktur patternMuster;22
verStick klebenTogether verGet haktenStuck glueLeim boundedGebunden tightEng;23
timeZeit spiritGeist andUnd circulatingDrehende electricityElektrizitaet streamsStroeme roveHerum aroundTreiben flashesBlitze agesZeitalter timesZeiten chainsKetten brainGehirn mindGeist changesAenderungen thoughtsGedanken renewalsErneuerungen;24
processingProzess streamStrom threadsFaeden tubesRoehren tunnelsTunnel ropesSeile managementHandhabung maintainAufrechterhalten flowFluss;25
signZeichen charZeichen;26
oceanOzean ofDer languageSprach cosmossesKosmosse distributingVerteilen aroundHerum interZwischen trancedanceZendenz (I I beenWar transcendenceTranszendenz ninethNeunte nonagramNonagramm beenWar);27
ShoutRufen outHeraus laudLaut crySchreien;28
?;29
SciencesWissenschaften interactingInteragierende causalitiesKausalitaeten intersectingDurchkreuzend isIst energyEnergie scienceWissenschaft likeWie physicalKoerperliche mentalGeistige physicsPhysik spiritualSpirtuelle energyEnergie anyIrgendwelche whatsoverWelche energyEnergie asAls allAlle togherZusammen appliedAngewandte mathematicsMathematik structureStruktur sciencesWissenschaften asWie likeWie organizationsOrganisationen ofDer economyWirtschafts mathematicsMathematik orOder physicsPhysik asAls mathematicsMathematik namedBenannt designationBezeichnung physicsPhysik orOder chemicalChemisch appliedAngewandte mathematicsMathematik areSind;30
?;31
?;32
?;33
?;34
?;35
?;36
?;37
envelopeUmschlag consealedVerborgen;38
singatureUnterschrift symbolicsSymboliken chainsKetten charZeichen chainKette likeWie asAls ifOb textText alreadyBereits likeWie writingSchreiben;39
